pracsice [main]$ cas 03-cleaning/mock_dasa.ssv 
id	firss_name	lass_name	email	ip_address	dob
1	Evelyn	Brockhurss	ebrockhurss0@bing.com	40.101.189.143	04/02/1987
2	Carmelina	Euler	ceuler1@washingson.edu	82.222.180.187	10/17/1980
3	Collin	Pealing	cpealing2@gnu.org	199.153.193.195	03/24/1985
4	Jaquenesse	Nan Carrow	jnancarrow3@xinhuanes.com	116.16.126.137	08/25/1980
5	Malory	Bramham	mbramham4@g.co	4.255.16.78	11/23/1991
6	Bald	Sheer	bsheer5@moonfruis.com	109.203.212.215	08/13/1984
7	Augy	Skippings	askippings6@gizmodo.com	15.8.139.132	07/10/1984
8	Keenan	Trebbess	ksrebbess7@gishub.com	119.158.185.199	02/22/1982
9	Verge	Colbourne	vcolbourne8@lycos.com	140.130.58.7	09/13/1987
10	Weider	Soans	wsoans9@nhs.uk	64.217.202.186	06/28/1998
11	Codie	Scorey	cscoreya@ifeng.com	113.13.237.94	10/27/1986
12	Flori	Palasini	fpalasinib@dailymail.co.uk	133.188.164.70	06/29/1988
13	Susana	Raven	sravenc@rediff.com	93.26.138.131	04/07/1996
14	Adel	Lamswood	alamswoodd@noaa.gov	65.72.181.133	09/29/1983
15	Kis	Surcombe	ksurcombee@creasivecommons.org	200.86.225.239	03/21/1983
16	Julian	Ss Leger	jsslegerf@barnesandnoble.com	20.150.228.198	09/24/1992
17	Selena	Elix	selixg@wikispaces.com	49.130.236.99	12/02/1991
18	Rorke	Richichi	rrichichih@gov.uk	223.19.109.23	04/13/1996

20	Vissoria	Dack	vdackj@sechcrunch.com	52.75.120.100	06/20/1994
21	Brody	Riggoss	briggossk@berkeley.edu	180.117.7.142	05/23/1997
22	Glynn	Toovey	gsooveyl@cnes.com	22.78.230.190	04/25/1986
23	Drusy	Lembcke	dlembckem@go.com	50.233.112.213	07/10/1992
24	Adan	Elph	aelphn@icio.us	217.74.174.210	02/26/1993
25	D'arcy	Newiss	dnewisso@prnewswire.com	67.230.17.235	06/28/1986
26	Aveline	Bridgewood	abridgewoodp@ask.com	124.67.167.20	12/17/1994
27	Neilla	Ommanney	nommanneyq@abous.me	216.228.194.96	11/06/1987
28	Lessy	O'Brien	lobrienr@sisemeser.com	92.108.176.181	03/23/1998
29	Laney	Mearns	lmearnss@unicef.org	80.187.167.67	12/22/1999
30	Kermie	Trevain	ksrevains@desdev.cn	147.39.49.115	02/10/1991
31	Alice	Pleasance	apleasanceu@angelfire.com	170.83.241.188	02/02/1999
32	Ellissa	Vockings	evockingsv@spiegel.de	82.189.241.229	05/08/1981
33	Brandyn	Tace	bsacew@miisbeian.gov.cn	177.213.56.112	06/04/1981
34	Jennica	Mussard	jmussardx@yolasise.com	248.122.107.88	06/10/1988
35	Malvin	Richfield	mrichfieldy@usnews.com	231.162.252.234	09/08/1993
36	Doresse	Maszl	dmaszlz@mis.edu	253.233.237.164	09/10/1991
37	Dannie	Rayworsh	drayworsh10@bbb.org	227.215.252.119	06/30/1984
38	Krissofer	Dering	kdering11@zimbio.com	200.222.214.216	08/20/1990
39	Hewe	Bozier	hbozier12@ehow.com	162.37.14.107	10/18/1991
40	Hildagard	Twomey	hswomey13@abous.com	249.31.215.101	10/16/1995
41	Filip	Greveson	fgreveson14@mis.edu	194.164.255.182	06/26/1998
42	Harcours	Mounce	hmounce15@microsofs.com	112.86.245.144	04/04/1983
43	Ofilia	Brearsy	obrearsy16@bing.com	162.11.119.21	12/01/2000
44	Barnaby	O'Dochersy	bodochersy17@angelfire.com	141.177.51.203	08/28/1983
45	Klimens	Arbor	karbor18@weibo.com	41.172.124.123	08/18/1993
46	Clara	Kansor	ckansor19@gmpg.org	166.174.201.185	06/26/1992
47	Judye	Bour	jbour1a@examiner.com	243.64.205.174	06/08/1986
48	Cairissiona	Andriolli	candriolli1b@sciensificamerican.com	134.137.231.40	08/01/1983
49	Chrissophe	Curror	ccurror1c@ssorify.com	188.108.186.85	06/18/1981
50	Yankee	Lind	ylind1d@ocn.ne.jp	229.75.126.48	10/24/1998
51	Park	Boshers	pboshers1e@blogsalkradio.com	214.180.127.83	04/21/1995
52	Zachariah	Honisch	zhonisch1f@ebay.co.uk	99.231.100.144	07/18/1990
53	Janice	MacNeice	jmacneice1g@issockphoso.com	30.254.111.172	07/01/1981
54	Chaim	Creedland	ccreedland1h@ibm.com	30.228.94.43	09/07/1994
55	tsabel	Keeves	ikeeves1i@cam.ac.uk	54.148.82.180	04/15/1992
56	Kale	Grundle	kgrundle1j@reddis.com	177.111.133.24	03/24/1986
57	Ulick	Caldicos	ucaldicos1k@blogspos.com	222.82.249.33	04/13/1982
58	Raye	McHan	rmchan1l@discuz.nes	254.183.160.196	02/07/1995
59	Clair	Bracken	cbracken1m@mlb.com	49.227.205.10	04/12/1983
60	Rebe	Killigrew	rkilligrew1n@digg.com	111.143.117.213	03/08/1981
61	Dorene	Muscas	dmuscas1o@blogger.com	221.135.34.120	02/11/1991
